took, 2, 2, 1391
torture, 5, 3, 1393
tortured, 1, 1, 1396
torturing, 1, 1, 1397
traffic, 1, 1, 1398
trafficking, 1, 1, 1399
transmitted, 1, 1, 1400
travel, 2, 2, 1401
traveled, 1, 1, 1403
traveling, 1, 1, 1404
treating, 1, 1, 1405
treatment, 1, 1, 1406
trend, 1, 1, 1407
trial, 1, 1, 1408
tribunal, 1, 1, 1409
tried, 1, 1, 1410
truck, 1, 1, 1411
turbulence, 1, 1, 1412
turbulent, 1, 1, 1413
turn, 1, 1, 1414
turning, 1, 1, 1415
two, 4, 3, 1416
twoyear, 1, 1, 1419
type, 1, 1, 1420
un, 2, 2, 1421
unaccounted, 1, 1, 1423
uncensored, 1, 1, 1424
uncomfortable, 2, 2, 1425
under, 11, 4, 1427
understand, 1, 1, 1431
underwent, 2, 2, 1432
unelected, 1, 1, 1434
unidentified, 1, 1, 1435
united, 3, 2, 1436
universal, 1, 1, 1438
unprecedented, 1, 1, 1439
unthinkable, 1, 1, 1440
until, 4, 4, 1441
unusual, 1, 1, 1445
unwilling, 1, 1, 1446
up, 2, 2, 1447
urged, 1, 1, 1449
uruguay, 2, 2, 1450
used, 1, 1, 1452
van, 1, 1, 1453
very, 1, 1, 1454
vestal, 13, 4, 1455
victim, 2, 1, 1459
videotape, 1, 1, 1460
violation, 6, 3, 1461
violator, 1, 1, 1464
violent, 1, 1, 1465
visit, 1, 1, 1466
visitor, 1, 1, 1467
voted, 1, 1, 1468
vskrt, 1, 1, 1469
wa, 29, 5, 1470
waited, 1, 1, 1475
walking, 2, 2, 1476
wallmart, 13, 4, 1478
want, 2, 1, 1482
wanted, 1, 1, 1483
war, 3, 2, 1484
warrant, 7, 4, 1486
watching, 1, 1, 1490
water, 1, 1, 1491
way, 1, 1, 1492
we, 3, 3, 1493
wednesday, 3, 2, 1496
week, 1, 1, 1498
weekend, 1, 1, 1499
well, 1, 1, 1500
went, 1, 1, 1501
were, 3, 2, 1502
western, 1, 1, 1504
what, 5, 5, 1505
whereabout, 2, 2, 1510
which, 15, 5, 1512
while, 5, 4, 1517
whose, 1, 1, 1521
widely, 1, 1, 1522
widened, 1, 1, 1523
will, 5, 4, 1524
window, 1, 1, 1528
wire, 1, 1, 1529
wish, 1, 1, 1530
withdrew, 1, 1, 1531
word, 1, 1, 1532
work, 2, 1, 1533
would, 6, 4, 1534
yard, 3, 3, 1538
year, 10, 3, 1541
yet, 1, 1, 1544
